TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	22 40 45.119	58 48 49.491	0.46348809	0.0370	0	0	0	-2.529	0.041	0.743	0.038	2008366431773415552
1	22 38 43.307	59 10 12.068	0.34175993	0.0399	0	0	0	-4.382	0.045	-3.012	0.041	2008435941525597696
1	22 39 09.711	58 57 19.649	0.48536643	0.0364	0	0	0	-0.541	0.038	-1.369	0.036	2008382890087963648
1	22 39 31.903	59 05 00.996	0.46572202	0.0411	0	0	0	-1.563	0.045	-5.733	0.043	2008432196315007488
1	22 38 45.031	59 06 08.437	0.38436584	0.0392	0	0	0	-3.126	0.042	-3.599	0.037	2008434738934538368
1	22 38 38.008	59 10 42.653	0.38152886	0.0386	0	0	0	-2.689	0.042	-3.750	0.040	2008447688252493568
1	22 39 02.242	59 13 19.947	0.43364928	0.0391	0	0	0	-0.494	0.044	-3.044	0.043	2008449341823549824
1	22 38 59.774	58 47 26.517	0.36451234	0.0407	0	0	0	0.277	0.045	-1.959	0.042	2008377839206879232
1	22 39 21.660	59 09 16.815	0.38583663	0.0479	0	0	0	-2.288	0.052	0.007	0.048	2008436319478858368
1	22 41 05.425	59 04 09.785	0.49373308	0.0396	0	0	0	-1.761	0.040	-4.107	0.040	2008387563012658304
1	22 40 04.786	58 58 57.557	0.43614895	0.0377	0	0	0	-5.899	0.039	-3.962	0.041	2008383886520640512
1	22 38 21.602	59 13 33.501	0.40107000	0.0368	0	0	0	-3.603	0.039	-3.230	0.040	2008448826427420544
1	22 39 13.408	59 15 14.609	0.49953370	0.0372	0	0	0	-5.195	0.040	-2.531	0.040	2008449547981971072
1	22 39 17.245	59 11 22.515	0.39887936	0.0382	0	0	0	-6.889	0.042	-1.408	0.042	2008437350274899456
1	22 38 31.707	59 05 50.512	0.40203065	0.0402	0	0	0	-5.490	0.045	-1.519	0.040	2008434429696889728
1	22 39 30.223	58 55 28.393	0.46273200	0.0387	0	0	0	-6.115	0.039	-5.420	0.038	2008381928015317504
